class;maximumDIT;minimumDIT;fileType;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DeckPickerContextMenu.java;1;2;1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DeckPickerContextMenu.java/DeckPickerContextMenu;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DeckPickerContextMenu.java/DeckPickerContextMenu/mContextMenuListener/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DeckPickerNoSpaceLeftDialog.java;1;2;1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DeckPickerNoSpaceLeftDialog.java/DeckPickerNoSpaceLeftDialog;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DeckPickerNoSpaceLeftDialog.java/DeckPickerNoSpaceLeftDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DeckPickerNoSpaceLeftDialog.java/DeckPickerNoSpaceLeftDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/ExportDialog.java;1;2;1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/ExportDialog.java/ExportDialog;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/ExportDialog.java/ExportDialog/ExportDialogListener;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/ExportDialog.java/ExportDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/ExportDialog.java/ExportDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/ImportDialog.java;1;2;1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/ImportDialog.java/ImportDialog;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/ImportDialog.java/ImportDialog/clearAllDialogsClickListener/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/ImportDialog.java/ImportDialog/ImportDialogListener;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/ImportDialog.java/ImportDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/ImportDialog.java/ImportDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/ImportDialog.java/ImportDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/ImportDialog.java/ImportDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/MediaCheckDialog.java;1;2;1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/MediaCheckDialog.java/MediaCheckDialog;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/MediaCheckDialog.java/MediaCheckDialog/MediaCheckDialogListener;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/MediaCheckDialog.java/MediaCheckDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/MediaCheckDialog.java/MediaCheckDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/MediaCheckDialog.java/MediaCheckDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/MediaCheckDialog.java/MediaCheckDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/MediaCheckDialog.java/MediaCheckDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/SyncErrorDialog.java;1;2;1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/SyncErrorDialog.java/SyncErrorDialog;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/SyncErrorDialog.java/SyncErrorDialog/clearAllDialogsClickListener/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/SyncErrorDialog.java/SyncErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/SyncErrorDialog.java/SyncErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/SyncErrorDialog.java/SyncErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/SyncErrorDialog.java/SyncErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/SyncErrorDialog.java/SyncErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/SyncErrorDialog.java/SyncErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/SyncErrorDialog.java/SyncErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/SyncErrorDialog.java/SyncErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/SyncErrorDialog.java/SyncErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/SyncErrorDialog.java/SyncErrorDialog/onCreateDialog/;2;2;-1;;;;
